Land 2) ,"Sommer 
1996 ","Herbst 
1996 ","Weihnachten 
1996/97 ","Winter 
1997 ","Ostern/Frühjahr 
1997 ","Himmelf./Pfingsten 
1997 "
Baden-Württemberg (5),25.07.-07.09.,26.10.-30.10.,23.12.-10.01.,nan,01.04.-04.04.,20.05.-31.05.
Bayern (2),01.08.-16.09.,28.10.-02.11.,23.12.-04.01.,10.02.,24.03.-05.04.,20.05.-31.05.
Berlin (-),20.06.-03.08.,28.09.-05.10.,21.12.-04.01.,nan,08.03.-31.03.,09.05.
Brandenburg (3),20.06.-03.08.,04.10.-16.10.,23.12.-03.01.,03.02.-08.02.,01.04.-05.04.,20.05.
Bremen (1),27.06.-10.08.,30.09.-12.10.,23.12.-06.01.,nan,24.03.-12.04.,20.05.-24.05.
Hamburg (-),20.06.-31.07.,04.10.-19.10.,23.12.-04.01.,nan,21.03.-05.04.,09.05.-17.05.
Hessen (4),18.07.-30.08.,14.10.-19.10.,23.12.-07.01.,nan,24.03.-12.04.,nan
Mecklenburg-Vorpommern (3),20.06.-31.07.,07.10.-16.10.,23.12.-03.01.,03.02.-12.02.,22.03.-01.04.,16.05.-20.05.
Niedersachsen (1),27.06.-07.08.,30.09.-12.10.,23.12.-06.01.,nan,24.03.-12.04.,"09.05. , 20.05."
Nordrhein-Westfalen (4),04.07.-17.08.,14.10.-18.10.,23.12.-06.01.,nan,24.03.-12.04.,20.05.
Rheinland-Pfalz (4),18.07.-30.08.,12.10.-26.10.,23.12.-03.01.,nan,20.03.-04.04.,nan
Saarland (-),18.07.-28.08.,21.10.-02.11.,23.12.-04.01.,nan,24.03.-12.04.,nan
Sachsen (3),27.06.-07.08.,10.10.-18.10.,23.12.-06.01.,13.02.-21.02.,26.03.-04.04.,16.05.-20.05.
Sachsen-Anhalt (1),27.06.-07.08.,04.10.-12.10.,23.12.-04.01.,10.02.-22.02.,01.04.-04.04.,20.05.-23.05.
Schleswig-Holstein (2),20.06.-31.07. 4),04.10.-19.10. 4),23.12.-06.01.,nan,21.03.-07.04.,nan
Thüringen (3),27.06.-07.08.,14.10.-19.10.,20.12.-04.01.,10.02.-15.02.,24.03.-05.04.,16.05.-20.05.
