"Land (in Klammern Zahl der
beweglichen Ferientage)","Herbst
2006","Weihnachten
2006/2007","Winter
2007","Ostern/Frühjahr
2007","Himmelfahrt/Pfingsten
2007","Sommer
2007"
Baden-Württemberg (5),30.10. - 03.11.,27.12. - 05.01.,-,02.04. - 14.04.,29.05. - 09.06.,26.07. - 08.09.
Bayern (-),30.10. - 04.11.,27.12. - 05.01.,19.02. - 24.02.,02.04. - 14.04.,29.05. - 09.06.,30.07. - 10.09.
Berlin (-),02.10. - 14.10.,27.12. - 05.01.,05.02. - 10.02.,02.04. - 14.04. / 30.04.,18.05.,11.07./12.07. - 24.08.
Brandenburg (3),02.10. - 14.10. / 30.10.,27.12. - 05.01.,05.02. - 10.02.,04.04. - 13.04.,-,12.07. - 25.08.
Bremen (2),02.10. / 16.10 - 28.10.,23.12. - 06.01.,01.02. + 02.02.,26.03. - 10.04.,29.05.,19.07. - 29.08.
Hamburg (-),02.10. / 16.10. - 28.10.,27.12. - 06.01.,02.02.,05.03. - 17.03. / 30.04.,14.05. - 18.05.,12.07. - 22.08.
Hessen (3),16.10. - 28.10.,23.12. - 12.01.,-,02.04. - 14.04.,-,09.07. - 17.08.
Mecklenburg-Vorpommern (3),23.10. - 28.10.,27.12. - 05.01.,05.02. - 17.02.,02.04. - 11.04.,25.05. - 29.05.,16.07. - 25.08.
Niedersachsen (-),02.10. / 16.10. - 28.10.3),23.12. - 06.01.,01.02. + 02.02.,26.03. - 10.04. / 30.04.,18.05. + 29.05.,19.07. - 29.08.3)
Nordrhein-Westfalen (4),02.10. - 14.10.,21.12. - 05.01.,-,02.04. - 14.04.,29.05.,21.06. - 03.08.
Rheinland-Pfalz (4),09.10. - 20.10.,22.12. - 05.01.,-,28.03. - 13.04.,-,09.07. - 17.08.
Saarland (2),18.10. - 31.10.,21.12. - 06.01.,15.02. -21.02,02.04. - 14.04.,-,09.07. -18.08.
Sachsen (1),16.10. - 27.10.,22.12. - 02.01.,12.02. - 23.02.,05.04. - 13.04.,18.05. / 26.05. - 29.05.,23.07. - 31.08.
Sachsen-Anhalt (2),23.10. - 30.10.,22.12. - 05.01.,01.02. - 10.02.,31.03.- 05.04.,18.05. - 25.05.,19.07. - 29.08.
Schleswig-Holstein (3),02.10. / 16. - 30.10.2),27.12. - 08.01.,-,02.04. - 16.04./30.04.2),-,16.07. - 25.08.2)
Thüringen (3),23.10. - 03.11.,23.12. - 05.01.,05.02. - 10.02.,02.04. - 13.04.,26.05. - 29.05.,19.07. - 29.08.
