"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2007","Weihnachten
2007/2008","Winter
2008","Ostern/Frühjahr
2008","Himmelfahrt/Pfingsten
2008","Sommer
2008"
Baden-Württemberg (5),29.10. - 03.11.,24.12. - 05.01.,-,17.03. - 28.03.,13.05. - 23.05.,24.07. - 06.09.
Bayern (-),29.10. - 03.11.,24.12. - 05.01.,04.02. - 09.02.,17.03. - 29.03.,13.05. - 24.05.,04.08. - 15.09.
Berlin (-),15.10. - 20.10.,24.12. - 12.01.,04.02.,17.03. - 29.03.,02.05./13.05. - 16.05.,16.07./17.07. - 29.08.
Brandenburg (3),15.10. - 20.10.,24.12. - 12.01.,04.02.,19.03. - 28.03.,13.05. - 16.05.,17.07. - 30.08.
Bremen (1),22.10 - 03.11.,24.12. - 05.01.,31.01. - 01.02.,10.03. - 25.03.,13.05. - 16.05.,10.07. - 20.08.
Hamburg (-),15.10. - 27.10.,21.12. - 05.01.,01.02.,10.03. - 20.03,02.05. / 13.05. - 17.05.,17.07. - 27.08.
Hessen (3),08.10. - 20.10.,23.12. - 11.01.,-,25.03. - 05.04.,-,23.06. - 01.08.
Mecklenburg-Vorpommern (3),22.10. - 27.10.,24.12. - 04.01.,04.02. - 16.02.,17.03. - 26.03.,09.05. - 13.05.,21.07. - 30.08.
Niedersachsen (-),22.10. - 03.11.2,24.12. - 05.01.,31.01. + 01.02.,10.03. - 26.03.,02.05. + 13.05.,10.07. - 20.08. 2
Nordrhein-Westfalen (4),24.09. - 06.10.,20.12. - 04.01.,-,17.03. - 29.03.,13.05.,26.06. - 08.08.
Rheinland-Pfalz (4),08.10. - 19.10.,24.12. - 08.01.,-,12.03. - 28.03.,-,23.06. - 01.08.
Saarland (2),08.10. - 20.10.,19.12. - 05.01.,31.01. - 06.02.,17.03. - 29.03.,-,30.06. - 09.08.
Sachsen (1),08.10. - 19.10.,22.12. - 02.01.,04.02. - 15.02.,20.03. - 28.03.,02.05. / 10.05. - 13.05.,14.07. - 22.08.
Sachsen-Anhalt (3),15.10. - 20.10.,21.12. - 04.01.,02.02. - 09.02.,17.03. - 20.03.,13.05. - 23.05.,10.07. - 22.08.
Schleswig-Holstein (3),15.10. - 27.10. 3,24.12. - 08.01.,-,20.03. - 05.04.,-,21.07. - 30.08. 3
Thüringen (3),15.10. - 26.10.,22.12. - 05.01.,04.02. - 09.02.,22.03. - 28.03.,13.05. - 16.05.,10.07. - 20.08.
nan,nan,nan,nan,nan,nan,nan
