Land*,"Herbst
2024","Weihnachten
2024/2025","Winter
2025","Ostern/Frühjahr
2025","Himmelfahrt/Pfingsten
2025","Sommer
2025"
Baden-Württemberg (5),"28.10. - 30.10.
31.10.",23.12. - 04.01.,--,14.04. - 26.04.,10.06. - 20.06.,31.07. - 13.09.
Bayern,28.10. - 31.10.,23.12. - 03.01.,--,"03.03. - 07.03.
14.04. - 25.04.",10.06. - 20.06.,"01.08.
04.08. - 15.09."
Berlin,"04.10.
21.10. - 02.11.",23.12. - 31.12.,03.02. - 08.02.,"14.04. - 25.04.
02.05.","30.05.
10.06.",24.07. - 06.09.
Brandenburg (3),21.10. - 02.11.,23.12. - 31.12.,03.02. - 08.02.,14.04. - 25.04.,10.06.,24.07. - 06.09.
Bremen (2),"04.10. - 19.10.
01.11.",23.12. - 04.01.,03.02. - 04.02.,"07.04 - 19.04.
30.04. und 02.05.","30.05.
10.06.",03.07. – 13.08.
Hamburg,"04.10.
21.10. - 01.11.",20.12. - 03.01.,31.01.,"10.03. - 21.03.
02.05.",26.05. - 30.05.,24.07. - 03.09.
Hessen (4),14.10. - 25.10.,23.12. - 10.01.,--,07.04. - 21.04.,--,07.07. - 15.08.
Mecklenburg-Vorpommern,"04.10.
21.10. - 26.10.
01.11.",23.12. - 06.01.,03.02. - 14.02.,14.04. - 23.04.,"30.05.
06.06. - 10.06.",28.07. - 06.09.
Niedersachsen,"04.10. - 19.10.
01.11.",23.12. - 04.01.,03.02. - 04.02.,"07.04. - 19.04.
30.04. und 02.05.","30.05.
10.06.",03.07. - 13.08.
Nordrhein-Westfalen (4),14.10. - 26.10.,23.12. - 06.01.,--,14.04. - 26.04.,10.06.,14.07. - 26.08.
Rheinland-Pfalz (6),14.10. - 25.10.,23.12. - 08.01.,--,14.04. - 25.04.,--,07.07. - 15.08.
Saarland (3),14.10. - 25.10.,23.12. - 03.01.,24.02. - 04.03.,14.04. - 25.04.,--,07.07. - 14.08.
Sachsen (1),07.10. - 19.10.,23.12. - 03.01.,17.02. - 01.03.,18.04. - 25.04.,30.05.,28.06. - 08.08.
Sachsen-Anhalt (1),"30.09. - 12.10.
01.11.",23.12. - 04.01.,27.01. - 31.01.,07.04. - 19.04.,30.05.,28.06. - 08.08.
Schleswig-Holstein (3) ²,21.10. - 01.11.,19.12. - 07.01.,--,11.04. - 25.04.,30.05.,28.07. - 06.09.
Thüringen (2),30.09. - 12.10.,23.12. - 03.01.,03.02. - 08.02.,07.04. - 19.04.,30.05.,28.06. - 08.08.
