name,latitude,longitude,geometry,Bundesland,Regierungsbezirk,Kreis,Typ
Camping Club Rangau e.V.,49.63149610000001,10.9476565,POINT (10.9476565 49.63149610000001),Bayern,Mittelfranken,Erlangen Städte,Kreisfreie Städte
Pegnitz Camping,49.51802259999999,11.493099,POINT (11.493099 49.51802259999999),Bayern,Mittelfranken,Nürnberger Land,Landkreise
Frankenalb-Camping,49.5251989,11.5820846,POINT (11.5820846 49.5251989),Bayern,Oberpfalz,Amberg-Sulzbach,Landkreise
Jugendzeltplatz Riegelstein,49.6319314,11.4327097,POINT (11.4327097 49.6319314),Bayern,Oberfranken,Bayreuth,Landkreise
Camping - Betzenstein,49.6855237,11.4024587,POINT (11.4024587 49.6855237),Bayern,Oberfranken,Bayreuth,Landkreise
Campingplatz Ludwigsheide,49.2753859,12.3019898,POINT (12.3019898 49.2753859),Bayern,Oberpfalz,Schwandorf,Landkreise
MovinGround,49.28117299999999,12.1724215,POINT (12.1724215 49.28117299999999),Bayern,Oberpfalz,Schwandorf,Landkreise
Murner See Ferienwohnungen,49.3419925,12.210214,POINT (12.210214 49.3419925),Bayern,Oberpfalz,Schwandorf,Landkreise
Ferienhaus am Brückelsee,49.3453712,12.2095251,POINT (12.2095251 49.3453712),Bayern,Oberpfalz,Schwandorf,Landkreise
Wohnmobilstellplatz Neunburg vorm Wald,49.3509365,12.3833855,POINT (12.3833855 49.3509365),Bayern,Oberpfalz,Schwandorf,Landkreise
Hammerweiher,49.25062570000001,12.4974887,POINT (12.4974887 49.25062570000001),Bayern,Oberpfalz,Cham,Landkreise
"Ferienwohnung ""Haus am Treffenbach""",49.3619505,12.6965595,POINT (12.6965595 49.3619505),Bayern,Oberpfalz,Cham,Landkreise
Campingplatz Einberg,49.31055430000001,12.8593289,POINT (12.8593289 49.31055430000001),Bayern,Oberpfalz,Cham,Landkreise
Campingplatz Hohenwarth,49.2063271,12.9207588,POINT (12.9207588 49.2063271),Bayern,Oberpfalz,Cham,Landkreise
Gaytal Camping Körperich,49.9206833,6.261455300000001,POINT (6.261455300000001 49.9206833),Rheinland-Pfalz,Trier,Bitburg-Prüm,Landkreise
Freizeitsee Triolago,49.793436,6.802269000000001,POINT (6.802269000000001 49.793436),Rheinland-Pfalz,Trier,Trier-Saarburg,Landkreise
Camping Klüsserath and Restaurant Moselblick,49.8433272,6.857759,POINT (6.857759 49.8433272),Rheinland-Pfalz,Trier,Trier-Saarburg,Landkreise
BurgStadt Hotel,50.0682914,7.453772,POINT (7.453772 50.0682914),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise
Mosel Campingplatz Rissbach,49.9655984,7.104879399999999,POINT (7.104879399999999 49.9655984),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Family-Camping Mesenich,50.10085,7.19476,POINT (7.19476 50.10085),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise
Wohnmobilgarten Oster-Franzen,50.0953854,7.1236158,POINT (7.1236158 50.0953854),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise
Mobilstellplatz Naturcamping Vulkaneifel Fam. Moritz,50.097184,6.799713000000001,POINT (6.799713000000001 50.097184),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Campingplatz Moselhöhe,49.7996923,6.926788999999999,POINT (6.926788999999999 49.7996923),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Erich und Rita Schmitt,49.8305738,6.840745799999999,POINT (6.840745799999999 49.8305738),Rheinland-Pfalz,Trier,Trier-Saarburg,Landkreise
Wohnmobilhafen Camping Park Triolago,49.793541,6.805347999999999,POINT (6.805347999999999 49.793541),Rheinland-Pfalz,Trier,Trier-Saarburg,Landkreise
Paradies Camp,49.97133269999999,7.0820044,POINT (7.0820044 49.97133269999999),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Camping Idar-Oberstein,49.7517258,7.270502400000001,POINT (7.270502400000001 49.7517258),Rheinland-Pfalz,Koblenz,Birkenfeld,Landkreise
Campingplatz Haumühle,49.81472309999999,7.504099699999998,POINT (7.504099699999998 49.81472309999999),Rheinland-Pfalz,Koblenz,Bad Kreuznach,Landkreise
Salzlackwiese,49.9262091,7.672116099999999,POINT (7.672116099999999 49.9262091),Rheinland-Pfalz,Koblenz,Bad Kreuznach,Landkreise
BurgStadt Camping Park,50.067235,7.4545517,POINT (7.4545517 50.067235),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise
Camping Aumühle,49.9336111,7.7916667,POINT (7.7916667 49.9336111),Rheinland-Pfalz,Koblenz,Bad Kreuznach,Landkreise
Campingplatz Moselland,50.0326486,7.115728900000001,POINT (7.115728900000001 50.0326486),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Campingpark Lindelgrund,49.8837722,7.857081399999999,POINT (7.857081399999999 49.8837722),Rheinland-Pfalz,Koblenz,Bad Kreuznach,Landkreise
Campingplatz Nehren,50.08041,7.194310999999999,POINT (7.194310999999999 50.08041),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise
Zeltplatz Kaulet,50.062056,7.099686999999999,POINT (7.099686999999999 50.062056),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Zeltplatz Nieder-Wiesen,49.7216007,7.969475999999999,POINT (7.969475999999999 49.7216007),Rheinland-Pfalz,Rheinhessen-Pfalz,Alzey-Worms,Landkreise
Weingut Burkhard,49.71752060000001,8.1063719,POINT (8.1063719 49.71752060000001),Rheinland-Pfalz,Rheinhessen-Pfalz,Alzey-Worms,Landkreise
Weingut H.Engelhard,49.7762453,8.255249100000002,POINT (8.255249100000002 49.7762453),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise
Campingplatz Bleiau,49.9863319,8.3141968,POINT (8.3141968 49.9863319),Hessen,Darmstadt,Groß-Gerau,Landkreise
Wohnmobilpark Bingen,49.9688291,7.9450257,POINT (7.9450257 49.9688291),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise
Weingut Schott Wohnmobil-Stellplätze,49.907059,8.1615158,POINT (8.1615158 49.907059),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise
"Campingplatz, Wein- und Biergarten ""Inselrhein""",50.0116089,8.1005363,POINT (8.1005363 50.0116089),Hessen,Darmstadt,Rheingau-Taunus-Kreis,Landkreise
Weingut Borntaler Hof,49.69947789999999,8.2985616,POINT (8.2985616 49.69947789999999),Rheinland-Pfalz,Rheinhessen-Pfalz,Alzey-Worms,Landkreise
Campingplatz Am Steinrodsee,49.944371,8.604526000000002,POINT (8.604526000000002 49.944371),Hessen,Darmstadt,Darmstadt-Dieburg,Landkreise
Camping Mörfelden Inh. Adrian Schrötter,49.97969269999999,8.594363099999999,POINT (8.594363099999999 49.97969269999999),Hessen,Darmstadt,Groß-Gerau,Landkreise
Campingplatz Mainkur,50.1382638,8.7828941,POINT (8.7828941 50.1382638),Hessen,Darmstadt,Frankfurt am Main Städte,Kreisfreie Städte
Jugendzeltplatz Wild Park,49.94984960000001,8.518170200000002,POINT (8.518170200000002 49.94984960000001),Hessen,Darmstadt,Groß-Gerau,Landkreise
Camping Bachgrund Worfelden,49.94366000000001,8.55094,POINT (8.55094 49.94366000000001),Hessen,Darmstadt,Groß-Gerau,Landkreise
Weingut Burghof Oswald,49.79669,8.34586,POINT (8.34586 49.79669),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz-Bingen,Landkreise
"""Campingfreunde Schusterwörth e. V.""",49.7678048,8.4394992,POINT (8.4394992 49.7678048),Hessen,Darmstadt,Groß-Gerau,Landkreise
Campingplatz Riedsee,49.861055,8.4255019,POINT (8.4255019 49.861055),Hessen,Darmstadt,Groß-Gerau,Landkreise
"""Oasis of peace""",49.68556,8.669870000000001,POINT (8.669870000000001 49.68556),Hessen,Darmstadt,Bergstraße,Landkreise
Camping Maaraue,50.0012853,8.2858418,POINT (8.2858418 50.0012853),Rheinland-Pfalz,Rheinhessen-Pfalz,Mainz Städte,Kreisfreie Städte
Hundemobil,49.62690000000001,8.75036,POINT (8.75036 49.62690000000001),Hessen,Darmstadt,Bergstraße,Landkreise
Campingplatz Mainaue,49.79490209999999,9.1636923,POINT (9.1636923 49.79490209999999),Bayern,Unterfranken,Miltenberg,Landkreise
Campingplatz Mönchberg,49.7894959,9.263435399999995,POINT (9.263435399999995 49.7894959),Bayern,Unterfranken,Miltenberg,Landkreise
Erftal - Camping,49.696907,9.340257599999996,POINT (9.340257599999996 49.696907),Bayern,Unterfranken,Miltenberg,Landkreise
Jugendzeltplatz Burg Breuberg,49.8228121,9.0332283,POINT (9.0332283 49.8228121),Hessen,Darmstadt,Odenwaldkreis,Landkreise
"Pferdehof Masseria La Murgia Criollo zucht,Ferienhof",49.60003,8.77425,POINT (8.77425 49.60003),Hessen,Darmstadt,Bergstraße,Landkreise
Campsite and lakes Mainhausen,50.022938,9.02122,POINT (9.02122 50.022938),Hessen,Darmstadt,Offenbach,Landkreise
Camping Park Main Nice,50.1274253,8.9040954,POINT (8.9040954 50.1274253),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise
AZUR Camping Wertheim,49.77798,9.509096,POINT (9.509096 49.77798),Baden-Württemberg,Stuttgart,Main-Tauber,Landkreise
Campingpark Wertheim Bettingen / Schmid Camping GmbH,49.7812228,9.565951600000002,POINT (9.565951600000002 49.7812228),Bayern,Unterfranken,Main-Spessart,Landkreise
„Café Mainland“ Restaurant & Campingplatz,49.891436,9.596107999999996,POINT (9.596107999999996 49.891436),Bayern,Unterfranken,Main-Spessart,Landkreise
Falken-Zeltlagerplatz,50.116752,9.46385,POINT (9.46385 50.116752),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise
Campingplatz Zellingen,49.89647180000001,9.8266947,POINT (9.8266947 49.89647180000001),Bayern,Unterfranken,Main-Spessart,Landkreise
"Wohnmobilstellplatz Schöllkrippen, am Naturerlebnisbad",50.0845542,9.2535343,POINT (9.2535343 50.0845542),Bayern,Unterfranken,Aschaffenburg,Landkreise
McKamp Abenteuer- & Freizeitcamp,50.11942480000001,9.736811,POINT (9.736811 50.11942480000001),Bayern,Unterfranken,Main-Spessart,Landkreise
Jugendzeltplatz Gut Erlasee,50.0041648,9.9217294,POINT (9.9217294 50.0041648),Bayern,Unterfranken,Main-Spessart,Landkreise
Camping- u. Freizeitzentrum Roßmühle - Franz Volkert KG,50.1068473,9.7831663,POINT (9.7831663 50.1068473),Bayern,Unterfranken,Main-Spessart,Landkreise
Naturfreundehaus Günthersmühle,50.1985326,9.3046609,POINT (9.3046609 50.1985326),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise
Camping Main Spessart Park,49.8186359,9.588412300000002,POINT (9.588412300000002 49.8186359),Bayern,Unterfranken,Main-Spessart,Landkreise
Kalte Quelle,49.74386599999999,9.984943999999995,POINT (9.984943999999995 49.74386599999999),Bayern,Unterfranken,Würzburg Städte,Kreisfreie Städte
Pfadfinderzeltplatz,50.0655849,10.1283887,POINT (10.1283887 50.0655849),Bayern,Unterfranken,Schweinfurt,Landkreise
Volker Schneider,49.79774580000001,10.3440881,POINT (10.3440881 49.79774580000001),Bayern,Unterfranken,Kitzingen,Landkreise
Wohnmobilpark „Am Hutrasen“,50.0383867,10.2345776,POINT (10.2345776 50.0383867),Bayern,Unterfranken,Schweinfurt Städte,Kreisfreie Städte
Camping Island Bamberg,49.8618689,10.9167837,POINT (10.9167837 49.8618689),Bayern,Oberfranken,Bamberg Städte,Kreisfreie Städte
Wohnmobilstellplatz der Naturfreunde Haßfurt e.V.,50.0260316,10.5161699,POINT (10.5161699 50.0260316),Bayern,Unterfranken,Haßberge,Landkreise
Michael Kundmüller,49.939569,10.5833292,POINT (10.5833292 49.939569),Bayern,Unterfranken,Haßberge,Landkreise
Pfadfinderlandheim Schweinbach,49.7686278,10.869249,POINT (10.869249 49.7686278),Bayern,Oberfranken,Bamberg,Landkreise
Cali-Camper.de Wohnmobilverleih Kretschmer,49.9224753,10.9018184,POINT (10.9018184 49.9224753),Bayern,Oberfranken,Bamberg,Landkreise
Campingplatz Bieger,49.7898876,11.2058163,POINT (11.2058163 49.7898876),Bayern,Oberfranken,Forchheim,Landkreise
Annelore Bergmann Camping,50.0537602,10.9457916,POINT (10.9457916 50.0537602),Bayern,Oberfranken,Lichtenfels,Landkreise
Zeltplatz DJK Teuchatz,49.8755021,11.0872234,POINT (11.0872234 49.8755021),Bayern,Oberfranken,Bamberg,Landkreise
Camping in Bavaria,49.7830941,11.3666684,POINT (11.3666684 49.7830941),Bayern,Oberfranken,Forchheim,Landkreise
herzogwind4.de - Ferien / Honig / Holz / Wohnmobilstellplatz,49.7020707,11.3376003,POINT (11.3376003 49.7020707),Bayern,Oberfranken,Forchheim,Landkreise
Kinder- & Jugendzeltplatz Haselbrunn,49.78568459999999,11.4179837,POINT (11.4179837 49.78568459999999),Bayern,Oberfranken,Bayreuth,Landkreise
Maincamping Lichtenfels,50.1562542,11.0866065,POINT (11.0866065 50.1562542),Bayern,Oberfranken,Lichtenfels,Landkreise
Jugendzeltplatz Bayreuth,49.9317384,11.588189,POINT (11.588189 49.9317384),Bayern,Oberfranken,Bayreuth Städte,Kreisfreie Städte
Campingplatz Rußweiher,49.7581309,11.7986701,POINT (11.7986701 49.7581309),Bayern,Oberpfalz,Neustadt,Landkreise
Campingplatz Holderbach,49.9747,11.85283,POINT (11.85283 49.9747),Bayern,Oberfranken,Bayreuth,Landkreise
Hotel-Restaurant-Gasthof-Turm,50.2092268,12.096151,POINT (12.096151 50.2092268),Bayern,Oberfranken,Wunsiedel,Landkreise
"Lenz Leberkern, STOAWOLDdesign",49.83221999999999,12.09514,POINT (12.09514 49.83221999999999),Bayern,Oberpfalz,Tirschenreuth,Landkreise
Dengler Hof,50.1076638,12.1704217,POINT (12.1704217 50.1076638),Bayern,Oberfranken,Wunsiedel,Landkreise
Kornberg-Borderland-Camping,50.14382800000001,12.050921,POINT (12.050921 50.14382800000001),Bayern,Oberfranken,Wunsiedel,Landkreise
Campingplatz Fichtelsee,50.01666,11.85551,POINT (11.85551 50.01666),Bayern,Oberfranken,Bayreuth,Landkreise
Panorama & Wellness campsite Großbüchlberg *****,49.972254,12.226135,POINT (12.226135 49.972254),Bayern,Oberpfalz,Tirschenreuth,Landkreise
Campingplatz und Gasthaus zum Pfaffenstein,49.7803726,11.3108463,POINT (11.3108463 49.7803726),Bayern,Oberfranken,Forchheim,Landkreise
Trägerhof,49.6475607,12.5030537,POINT (12.5030537 49.6475607),Bayern,Oberpfalz,Neustadt,Landkreise
Camping Landal Wirfttal,50.3393254,6.538665299999999,POINT (6.538665299999999 50.3393254),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
ACC - the triangle e.V. Camping Rosenthal,50.5531219,6.2556716,POINT (6.2556716 50.5531219),Nordrhein-Westfalen,Köln,Aachen,Landkreise
Camping Tintesmühle,50.0936129,6.1258308,POINT (6.1258308 50.0936129),Rheinland-Pfalz,Trier,Bitburg-Prüm,Landkreise
Wohnmobilstellplatz-Birkenhof,50.286546,6.69113,POINT (6.69113 50.286546),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
Campingplatz Felsenblick,50.6537586,6.4923983,POINT (6.4923983 50.6537586),Nordrhein-Westfalen,Köln,Düren,Landkreise
LANDGUT PFAUENHOF,50.2238914,6.9344543,POINT (6.9344543 50.2238914),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
"MotorHotel en MotorCamping, Biker Pension VETUS TEMPUS",50.28219000000001,6.460299999999999,POINT (6.460299999999999 50.28219000000001),Rheinland-Pfalz,Trier,Bitburg-Prüm,Landkreise
Ferienwohnung Pintenmühle,50.2287252,6.6856262,POINT (6.6856262 50.2287252),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
Wildbach Camping - Dein Campingplatz in der Eifel,50.4817447,6.4333633,POINT (6.4333633 50.4817447),Nordrhein-Westfalen,Köln,Euskirchen,Landkreise
Stellplatz-Eifelland,50.35037,6.56542,POINT (6.56542 50.35037),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
Camping at the Nürburgring,50.32061090000001,6.937880400000002,POINT (6.937880400000002 50.32061090000001),Rheinland-Pfalz,Koblenz,Ahrweiler,Landkreise
Campingpark Dockweiler Mühle,50.2549105,6.780536199999998,POINT (6.780536199999998 50.2549105),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
Camping Falkley,50.3779649,7.1227277,POINT (7.1227277 50.3779649),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise
Eifel-Camp,50.41466199999999,6.718585999999999,POINT (6.718585999999999 50.41466199999999),Nordrhein-Westfalen,Köln,Euskirchen,Landkreise
Feriendorf Pulvermaar,50.131336,6.9333102,POINT (6.9333102 50.131336),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
Camping Denntal,50.4757605,6.9865082,POINT (6.9865082 50.4757605),Rheinland-Pfalz,Koblenz,Ahrweiler,Landkreise
Ortsgemeinde Landkern,50.1864605,7.1577746,POINT (7.1577746 50.1864605),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise
Campingplatz „Altes Forsthaus“ Landkern,50.1865135,7.157792899999999,POINT (7.157792899999999 50.1865135),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise
Strotzbüscher Mühle,50.1058449,6.980122,POINT (6.980122 50.1058449),Rheinland-Pfalz,Trier,Vulkaneifel,Landkreise
Nature Camping Eifel - Holiday village Moritz GbR,50.0970735,6.7993268,POINT (6.7993268 50.0970735),Rheinland-Pfalz,Trier,Bernkastel-Wittlich,Landkreise
Camping Rheineck,50.49163059999999,7.309920799999998,POINT (7.309920799999998 50.49163059999999),Rheinland-Pfalz,Koblenz,Ahrweiler,Landkreise
Camping Bocher Place,50.57702519999999,7.411721399999998,POINT (7.411721399999998 50.57702519999999),Rheinland-Pfalz,Koblenz,Neuwied,Landkreise
Camping Uferwiese Braubach,50.27528270000001,7.6387122,POINT (7.6387122 50.27528270000001),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise
Häppy Life - Camping Burgen,50.2148968,7.388937599999999,POINT (7.388937599999999 50.2148968),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise
Camping Siesta,50.386449,7.272260699999998,POINT (7.272260699999998 50.386449),Rheinland-Pfalz,Koblenz,Mayen-Koblenz,Landkreise
Campingplatz Burg Lahneck,50.3055099,7.6127777,POINT (7.6127777 50.3055099),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise
Jugendzeltplatz Boppard,50.2231763,7.5828101,POINT (7.5828101 50.2231763),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise
Knaus Campingpark,50.36645,7.604185999999998,POINT (7.604185999999998 50.36645),Rheinland-Pfalz,Koblenz,Koblenz Coblenz Städte,Kreisfreie Städte
Autarka - Andreas Keil,50.1771919,7.568867000000002,POINT (7.568867000000002 50.1771919),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise
Camping Beach Club Fachbach an der Lahn,50.3367473,7.6914804,POINT (7.6914804 50.3367473),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise
Zeltplatz Cochem-Klotten (Jugendzeltplatz),50.16955100000001,7.163537999999999,POINT (7.163537999999999 50.16955100000001),Rheinland-Pfalz,Koblenz,Cochem-Zell,Landkreise
Campingplatz Zum Katzenstein,50.56065,7.99911,POINT (7.99911 50.56065),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise
Campingplatz Eisenbachtal,50.43627919999999,7.904729799999998,POINT (7.904729799999998 50.43627919999999),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise
Campingplatz Obernhof an der Lahn,50.31594200000001,7.851514000000001,POINT (7.851514000000001 50.31594200000001),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise
"Camping ""Bad Ems""",50.3180726,7.735459599999998,POINT (7.735459599999998 50.3180726),Rheinland-Pfalz,Koblenz,Rhein-Lahn,Landkreise
Jugendferiendorf Untershausen,50.3973057,7.831849200000001,POINT (7.831849200000001 50.3973057),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise
Campingplatz Schönburgblick,50.10262,7.736466000000003,POINT (7.736466000000003 50.10262),Rheinland-Pfalz,Koblenz,Rhein-Hunsrück,Landkreise
"Campingplatz ""Haus Seeblick"" GbR",50.52574,7.9046201,POINT (7.9046201 50.52574),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise
Jugendzeltplatz Hauseley,50.4803293,8.2648636,POINT (8.2648636 50.4803293),Hessen,Gießen,Limburg-Weilburg,Landkreise
Wohnmobil-Stellplatz Taunus Mobilcamp,50.3104449,8.426493899999997,POINT (8.426493899999997 50.3104449),Hessen,Darmstadt,Hochtaunuskreis,Landkreise
Dutenhofener See,50.56494,8.61215,POINT (8.61215 50.56494),Hessen,Gießen,Lahn-Dill-Kreis,Landkreise
Jugendzeltplatz Nasser Fleck Butzbach,50.39997,8.61179,POINT (8.61179 50.39997),Hessen,Darmstadt,Wetteraukreis,Landkreise
Lahntours-Zeltplatz Solms-Schohleck,50.54030299999999,8.3808467,POINT (8.3808467 50.54030299999999),Hessen,Gießen,Lahn-Dill-Kreis,Landkreise
Welter's Camping and leisure paradise,50.618399,8.123934,POINT (8.123934 50.618399),Rheinland-Pfalz,Koblenz,Westerwaldkreis,Landkreise
Heisterberger Weiher,50.65272239999999,8.1627678,POINT (8.1627678 50.65272239999999),Hessen,Gießen,Lahn-Dill-Kreis,Landkreise
Zeltlager Eckmannshain,50.5903952,9.186353300000002,POINT (9.186353300000002 50.5903952),Hessen,Gießen,Vogelsbergkreis,Landkreise
"Wohnmobilstellplatz Grebenhain, Ilbeshausen-Hochwaldhausen",50.5196111,9.318025300000002,POINT (9.318025300000002 50.5196111),Hessen,Gießen,Vogelsbergkreis,Landkreise
Campingplatz Lahnblick,50.6588957,8.7113421,POINT (8.7113421 50.6588957),Hessen,Gießen,Gießen,Landkreise
Nieder-Mooser See,50.4661071,9.3730117,POINT (9.3730117 50.4661071),Hessen,Gießen,Vogelsbergkreis,Landkreise
Campground Bärensee,50.1518442,8.9529154,POINT (8.9529154 50.1518442),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise
Wohnresidenz & Waldcamping im Ohmtal,50.72911999999999,9.012770000000002,POINT (9.012770000000002 50.72911999999999),Hessen,Gießen,Vogelsbergkreis,Landkreise
Campingplatz Birkenhain,50.3814391,9.713720100000002,POINT (9.713720100000002 50.3814391),Hessen,Kassel,Fulda,Landkreise
Campingplatz-Sinntal-Oberzell,50.3382514,9.710805,POINT (9.710805 50.3382514),Hessen,Darmstadt,Main-Kinzig-Kreis,Landkreise
Zeltplatz am Hauck,50.4200987,9.832543,POINT (9.832543 50.4200987),Hessen,Kassel,Fulda,Landkreise
Kurt Richter,50.46295999999999,9.91932,POINT (9.91932 50.46295999999999),Hessen,Kassel,Fulda,Landkreise
Rhön-Indianer-Hotel > Bauernhofbäckerei - Christof Gensler KG,50.4982073,9.8763582,POINT (9.8763582 50.4982073),Hessen,Kassel,Fulda,Landkreise
Campingplatz Schlitz,50.6692415,9.5682154,POINT (9.5682154 50.6692415),Hessen,Gießen,Vogelsbergkreis,Landkreise
Camping Park on Lake Gederner,50.42908220000001,9.180799600000002,POINT (9.180799600000002 50.42908220000001),Hessen,Darmstadt,Wetteraukreis,Landkreise
Rhönpiraten,50.4588719,10.2177531,POINT (10.2177531 50.4588719),Bayern,Unterfranken,Rhön-Grabfeld,Landkreise
Wellness Bauernhof Weihersmühle - Familie Hückl,50.5242106,10.1254068,POINT (10.1254068 50.5242106),Bayern,Unterfranken,Rhön-Grabfeld,Landkreise
Camping at the lake,50.2526573,10.4090345,POINT (10.4090345 50.2526573),Bayern,Unterfranken,Rhön-Grabfeld,Landkreise
Caravaning Arnstein,49.97376089999999,9.985100999999998,POINT (9.985100999999998 49.97376089999999),Bayern,Unterfranken,Main-Spessart,Landkreise
Rhön Camping-Park GmbH,50.5065519,10.0112819,POINT (10.0112819 50.5065519),Hessen,Kassel,Fulda,Landkreise
Campingplatz Meiningen,50.5695554,10.4359101,POINT (10.4359101 50.5695554),Thüringen,Thüringen,Schmalkalden-Meiningen,Landkreise
Campingplatz Am Waldbad Breitenbach,50.547372,10.778752,POINT (10.778752 50.547372),Thüringen,Thüringen,Hildburghausen,Landkreise
"Landcafé ""Grünes Herz"", Pension „Volkseigenes Gut“",50.4083078,10.913966,POINT (10.913966 50.4083078),Thüringen,Thüringen,Hildburghausen,Landkreise
Pfadfinderhaus Fornbach,50.3399818,11.0025102,POINT (11.0025102 50.3399818),Bayern,Oberfranken,Coburg,Landkreise
Holiday Park Thuringian Forest,50.4314696,11.0244547,POINT (11.0244547 50.4314696),Thüringen,Thüringen,Sonneberg,Landkreise
Camping Schloß Roßdorf,50.70440139999999,10.2130312,POINT (10.2130312 50.70440139999999),Thüringen,Thüringen,Schmalkalden-Meiningen,Landkreise
Ferienzentrum Rauenstein,50.4170851,11.0355968,POINT (11.0355968 50.4170851),Thüringen,Thüringen,Sonneberg,Landkreise
Feriencamp kid´s live,50.6970535,10.8842925,POINT (10.8842925 50.6970535),Thüringen,Thüringen,Ilm-Kreis,Landkreise
Caravanstellplatz am Biathlonstadion Oberhof,50.706332,10.6945303,POINT (10.6945303 50.706332),Thüringen,Thüringen,Schmalkalden-Meiningen,Landkreise
Bergsee Ratscher,50.49214490000001,10.7917381,POINT (10.7917381 50.49214490000001),Thüringen,Thüringen,Hildburghausen,Landkreise
Naturcamp Meyersgrund,50.65103899999999,10.843334,POINT (10.843334 50.65103899999999),Thüringen,Thüringen,Ilm-Kreis,Landkreise
Kurcampingplatz Bad Staffelstein,50.1124739,10.9833187,POINT (10.9833187 50.1124739),Bayern,Oberfranken,Lichtenfels,Landkreise
Wohnmobil-Ferienpark Großbreitenbach,50.58321009999999,10.9892655,POINT (10.9892655 50.58321009999999),Thüringen,Thüringen,Ilm-Kreis,Landkreise
Hotel Sommerfrische Lothramühle,50.5906228,11.5201396,POINT (11.5201396 50.5906228),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise
Campingplatz Saalthal-Alter,50.62101,11.50876,POINT (11.50876 50.62101),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise
Schloss Issigau - Stefan Braitmaier,50.3743962,11.7212537,POINT (11.7212537 50.3743962),Bayern,Oberfranken,Hof,Landkreise
Joditz,50.3757409,11.8382526,POINT (11.8382526 50.3757409),Bayern,Oberfranken,Hof,Landkreise
Camping Saalburg Bad,50.49478300000001,11.730986,POINT (11.730986 50.49478300000001),Thüringen,Thüringen,Saale-Orla,Landkreise
Campingplatz Kloster,50.5158047,11.7304185,POINT (11.7304185 50.5158047),Thüringen,Thüringen,Saale-Orla,Landkreise
Campground Droschkau,50.60136079999999,11.5862686,POINT (11.5862686 50.60136079999999),Thüringen,Thüringen,Saale-Orla,Landkreise
Camping,50.59972,11.5930057,POINT (11.5930057 50.59972),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise
Ferienland Crispendorf,50.57942440000001,11.70194,POINT (11.70194 50.57942440000001),Thüringen,Thüringen,Saale-Orla,Landkreise
Beach 24 GBR,50.657269,11.361034,POINT (11.361034 50.657269),Thüringen,Thüringen,Saalfeld-Rudolstadt,Landkreise
Camping Plothener ponds,50.6525013,11.7704666,POINT (11.7704666 50.6525013),Thüringen,Thüringen,Saale-Orla,Landkreise
Camping Stadtsteinach,50.16065749999999,11.5163634,POINT (11.5163634 50.16065749999999),Bayern,Oberfranken,Kulmbach,Landkreise
